name	HMDB_id
acetic acid	HMDB0000042
alanine	HMDB0000161
citric acid	HMDB0000094
creatine	HMDB0000064
creatinine	HMDB0000562
dimethylamine	HMDB0000087
formic acid	HMDB0000142
glycine	HMDB0000123
hippuric acid	HMDB0000714
indoxylsulfate	HMDB0000682
lactic acid	HMDB0000190
N-acetyl-aspartic acid	HMDB0000812
phenylacetylglutamine	HMDB0006344
trigonelline	HMDB0000875
trimethylamine	HMDB0000906
2- hydroxyglutaric acid	HMDB0000694
3-(3-hydroxyphenyl)-3-hydroxypropanoic acid (HPHPA)	HMDB0002643
3-aminoisobutyric acid	HMDB0003911
acetoacetic acid	HMDB0000060
acetone	HMDB0001659
adipic acid	HMDB0000448
Alpha-aminoadipic acid	HMDB0000510
Cis-aconitic acid	HMDB0000072
D-glucose	HMDB0000122
dimethylglycine	HMDB0000092
ethanolamine	HMDB0000149
gluconic acid	HMDB0000625
glycolic acid	HMDB0000115
guanidoacetic acid	HMDB0000128
imidazole	HMDB0001525
isobutyric acid	HMDB0001873
isocitric acid	HMDB0000193
L-cysteine	HMDB0000574
L-cystine	HMDB0000192
L-fucose	HMDB0000174
L-glutamine	HMDB0000641
L-histidine	HMDB0000177
L-lysine	HMDB0000182
L-serine	HMDB0000187
L-threonine	HMDB0000167
L-tyrosine	HMDB0000158
mandelic acid	HMDB0000703
mannitol	HMDB0000765
methanol	HMDB0001875
methylguanidine	HMDB0001522
methylsuccinic acid	HMDB0001844
N-acetylneuraminic acid	HMDB0000230
phenol	HMDB0000228
pyroglutamic acid	HMDB0000267
sucrose	HMDB0000258
taurine	HMDB0000251
urea	HMDB0000294
Trimethylamine N-oxide	HMDB0000925
